court	docket_date	case_count	case_numbers
1-1	2025-02-17	1	251100037205
1-1	2025-02-20	1	251100037205
1-1	2025-02-17	9	251100037236, 251100037193, 251100037242, 251100037234, 251100037229, 251100037235, 251100037213, 251100037220, 251100037195
1-1	2025-02-20	1	251100037242
1-1	2025-02-17	5	251100037248, 251100037324, 251100038206, 251100037251, 251100037273
1-1	2025-03-04	1	251100038206
1-1	2025-02-18	2	251100038422, 251100038357
1-1	2025-02-17	1	251100037307
1-1	2025-02-18	6	251100038350, 251100038469, 251100038423, 251100038428, 251100038430, 251100038541
1-1	2025-02-19	5	251100038469, 251100038577, 251100038464, 251100038576, 251100038459
1-1	2025-02-18	1	251100038514
1-1	2025-02-19	2	251100038583, 251100038580
1-1	2025-02-18	1	251100038593
1-1	2025-02-17	1	251100038626
1-1	2025-02-18	2	251100038606, 251100038622
1-1	2025-02-17	1	251100038615
1-1	2025-02-18	5	251100038681, 251100038690, 251100038656, 251100038693, 251100038700
1-1	2025-02-17	1	251100038713
1-1	2025-02-26	1	251100038713
1-1	2025-03-05	1	251100038713
1-1	2025-02-18	2	251100038755, 251100038709
1-1	2025-02-25	1	251100038709
1-1	2025-02-19	2	251100038781, 251100038777
1-1	2025-02-26	1	251100038781
1-1	2025-02-19	1	251100038782
1-1	2025-02-18	6	251100038884, 251100038776, 251100038823, 251100038841, 251100038842, 251100038830
1-1	2025-02-19	12	251100039007, 251100038995, 251100039020, 251100038985, 251100038994, 251100038981, 251100039034, 251100038986, 251100039024, 251100039019, 251100039016, 251100039010
1-1	2025-02-27	1	251100039034
1-1	2025-02-19	1	251100040041
1-1	2025-02-26	1	251100040041
1-1	2025-02-17	2	251100040395, 251100040394
1-1	2025-03-17	1	251100040395
1-1	2025-02-19	11	251100040455, 251100040457, 251100040262, 251100040446, 251100040045, 251100040494, 251100040513, 251100040553, 251100040479, 251100040447, 251100040264
1-1	2025-02-26	1	251100040479
1-1	2025-02-19	7	251100040730, 251100040632, 251100040609, 251100040685, 251100040667, 251100040569, 251100040526
1-1	2025-02-26	1	251100040730
1-1	2025-02-19	14	251100040758, 251100040841, 251100040797, 251100040782, 251100040832, 251100042747, 251100042746, 251100042750, 251100040686, 251100040837, 251100040823, 251100040815, 251100042687, 251100040709
1-1	2025-03-04	1	251100042746
1-1	2025-02-19	2	251100042751, 251100042753
1-2	2025-01-21	1	251200001619
1-2	2025-02-04	1	251200001619
1-2	2025-01-21	2	251200001654, 251200005768
1-2	2025-02-04	1	251200005768
1-2	2025-02-18	1	251200008557
1-2	2025-01-28	1	251200008830
1-2	2025-01-21	1	251200001624
1-2	2025-02-04	1	251200001624
1-2	2025-01-28	3	251200008889, 251200008845, 251200010514
1-2	2025-02-04	1	251200010514
1-2	2025-01-28	3	251200011055, 251200010661, 251200010652
1-2	2025-02-11	1	251200011055
1-2	2025-01-28	3	251200012623, 251200012820, 251200015485
1-2	2025-02-04	1	251200015485
1-2	2025-02-11	1	251200015485
1-2	2025-01-28	1	251200012581
1-2	2025-02-04	1	251200012581
